review_title,ratings,review_comment,size,asin
Refund money,1.0,Dislike,2XL,B08ZS9T878
I want return immediately,1.0,I won't this color n size,2XL,B08ZS9T878
Worst,1.0,Not at all worth...cloth is very rough and uncomfortable,M,B08ZS9T878
Color is different and pattern also they mention cotton but it's rayon,1.0,Color pattern and quality different it's rayon,L,B08ZS9T878
Its not cotton material,1.0,Not cotton material...,L,B08ZS9T878
Quality not good,1.0,"Not satisfied, worst product",M,B08ZS9T878
This material is not cotton.,3.0,Fabric is not good. They should mention the exact material or fabric used. They mentioned cotton that's why I have purchased it.,XL,B08ZS9T878
Color faded with one watch. Poor quality,1.0,Not worth of the money. Designs and Color faded with one wash. Don’t buy this sub standard product. Waste of purchasing,2XL,B08ZS9T878
One side zip is not opening,1.0,Too bad..the size is not correct nd one side zip is not working. Not comfortable to wear.not worth for money,XL,B08ZS9T878
Cloth not fine,1.0,We wash this dress  Cloth not fine please return and send or payment in our account ass well as soon posible,2XL,B08ZS9T878
perfect fitting,5.0,"The media could not be loaded.
                



 Very nice quality and nice colour too. Perfect fitting must buy product for pregnant women",XL,B08ZS9T878
Highly recommended,5.0,Very Comfortable...during maternity time it helps a lot. vertical zips are fine .. within this price range it's value for money... I highly recommend this product.,XL,B08ZS9T878
Good product,3.0,Good product,M,B08ZS9T878
Perfact dress,5.0,Perfact fit .. Nice fabric.. Superb colour.. As expected....,L,B08ZS9T878
Average,3.0,Not bad,2XL,B08ZS9T878
Quality is as we needed,4.0,Satisfied,2XL,B08ZS9T878
Nice product,4.0,Nice product,L,B08ZS9T878
Nice,5.0,Nice super,XL,B08ZS9T878
Poor quality chief metrial,1.0,Poor quality chief metrial don't purchase it . Lost of money . not like what i ordered . So sad,XL,B08ZS9T878
Affordable price,4.0,The feeding tops nice. Cotton material . Comfort to wear all season.,XS,B0BW5J8VWW
Nice,4.0,Very good product. But it was too long for me as I'm bit short. Everything else is great.,M,B0BW5J8VWW
Good quality,4.0,The product was as same as it is given in the pic. Very good quality and so soft and comfortable to wear.. a must try for the new moms,L,B0BW5J8VWW
Ok good,4.0,Clothes is good but stitch is not good,XL,B0BW5J8VWW
Very comfortable,4.0,Fabric is very good nice I love it,2XL,B0BW5J8VWW
Soft material,4.0,Recommended,M,B0BW5J8VWW
Ok product,3.0,"Ok product. Cotton wrinkles, using at home, can't guarantee the zip quality",XL,B0BW5J8VWW
Superb quality and good fitting,5.0,Most valuable product. Good quality of material. Also very useful in day to day life.,L,B0BW5J8VWW
Superb,5.0,Good quality worthy more than the money,L,B0BW5J8VWW
Comfortable wear for new moms 👌🏻,4.0,Cloth quality was best....nice kurti for new mom...liked it,2XL,B0BW5J8VWW
Ok ok,2.0,Not so good. The size was too big. The patter on the arms looks like as if its torn.,L,B0BW5J8VWW
Good,5.0,Very nice and comfortable l fabric,L,B0BW5J8VWW
Good fit,5.0,Good fit. Nice design,XL,B0BW5J8VWW
Fabric colour,5.0,I liked the product very much. Would be Mommies go for it. Amazing clothing from jikonet.,XL,B0BW5J8VWW
Worst products,1.0,Produce is of inferior quality Zip gets stuck and damaging the stitches. Product was not used not even once and it made me in an akward situation when I was travelling. Kindly do not purchase it. Also return window closed too early .,2XL,B0BW5J8VWW
Soft and comfortable,5.0,Very nice and comfortable maternity and nursing wear. Very good quality. Ordering more,M,B0BW5J8VWW
Not worth it,1.0,Print on the dress is up side down(reverse) 😞,S,B0BW5J8VWW
Item missing,1.0,Received missing item,M,B0BW5J8VWW
Quality is not good,1.0,Stitching is bad. Colours faded away just in a wash. Not recommended.,2XL,B0BW5J8VWW
Good product,5.0,Good product but not rayon… it’s cotton type material… and its not soft type… its some linen type material.. ok,2XL,B0BW5J8VWW
Superb,5.0,Really fantastic n superb quality must try once…. Cloth is great cotton quality….. must buy once…. Recommend for daily use,2XL,B0BW5J8VWW
Good but colour is too light,4.0,Good,L,B0B45ZR9S9
Good material - quality product,5.0,It’s good design product.Best for pregnancy,XL,B0B45ZR9S9
Good Quality and Fit,4.0,Quality and fit is as expected. Comfortable to wear. Soft fabric,XL,B0B45ZR9S9
Must buy,5.0,Superb material and comfortable.,2XL,B0B45ZR9S9
Cloth ruined after a single wash,2.0,Once received the product was good. Cloth was very soft but it got ruined after a single wash.,2XL,B0B45ZR9S9
Comfortable,5.0,Very comfortable and soft. Loved the product.,M,B0B45ZR9S9
Excellent product in range,5.0,Perfect after C-section,M,B0B45ZR9S9
Amazing product,5.0,Amazing one I like it very much very comfortable and fully sleeve also,2XL,B0B45ZR9S9
Same as shown in picture.,5.0,Soft and comfortable.,2XL,B0B45ZR9S9
Value money,5.0,Good Quality,XL,B0B45ZR9S9
Wastey,1.0,Very thin,2XL,B0B45ZR9S9
"Different color, but good dress",4.0,The colour is a bit different from the original image. But it is still a good buy,no size,B08FBNGGN4
Mujhe ye product thoda expensive lga.,4.0,Product was ok ok,L,B08FBNGGN4
Good purchase,4.0,Nice print,M,B08FBNGGN4
Love it,5.0,It's lovely dress and the material is also very soft..,L,B08FBNGGN4
Worst quality,1.0,It's completely different from the shown image... Very bad print... Very cheap,L,B08FBNGGN4
Good,5.0,It's good overall,2XL,B08FBNGGN4
Good,5.0,Very comfortable to wear and nice for breastfeeding and pregnant women,L,B08FBNGGN4
Not worth,3.0,Not worth,M,B08FBNGGN4
Good but a bit overpriced,4.0,"Colour, print, style and stitching is good but it is overpriced.",M,B08FBNGGN4
Nice Dress - Pure Cotton,4.0,Product is good. its pure cotton and comfortable. However stiching over nursery zip a bit harsh to skin. Due to this deducted one star.,no size,B08FBNGGN4
Good,4.0,Ok,L,B08FBNGGN4
Lengh,3.0,Not fit as website pic,no size,B08FBNGGN4
Shrinks after one wash,2.0,Color fades away n material shrinks after onevwash. Bottom of this dress has become uneven after multiple wash.,XL,B08FBNGGN4
As expected,4.0,Nice,no size,B08FBNGGN4
Amazing Dress!,5.0,One of the best maternity dresses available in amazon. Very good quality and looks pretty!,L,B08FBNGGN4
Good dress,5.0,"I like fabric, little transparent but ok, also for me size is too large I ORDERED XL. But L also good for me. Can't exchange as size not available",XL,B08FBNGGN4
Worth the money,5.0,I was skeptical with the garment but the quality is awesome and i loved it.. its so convenient for nursing.. looks good for gatherings,no size,B08FBNGGN4
Not as per picture length is short,2.0,Length is short and cloth is not soft,no size,B08FBNGGN4
This product is not good. Colour is dul not bright. Design good,2.0,This product designe is good but colour is not bright very dul colour,no size,B08FBNGGN4
Perfect,5.0,Suits best. Perfect fabric.,M,B08FBNGGN4
Loved the fabric,5.0,Very nice and soft material...right for maternity period,2XL,B08FBNGGN4
Bad quality never buy from this brand,1.0,"The media could not be loaded.
                



 Waste of money, as we don't used clothes as they are received and need to atleast be put in plain water. The dress lost its colour and entire dress got damaged.",2XL,B08FBNGGN4
Colour issues,1.0,Having colour issues in the very first wash. The orange pattern getting smudged into main colour. Cloth material seems good but disappointed with the colour issue.,L,B08FBNGGN4
DO NOT BUY,1.0,Poor quality cloth.. shrunk unevenly after one wash.. print also faded... zip hurts on the inside... Moreover it's not floor length as shown in the pic. I'm 5'5 - runs too short,L,B08FBNGGN4
Bad quality,1.0,Quality is not good. One wash and there was black powder rupee spread all over the dress.,2XL,B08FBNGGN4
It's good..,4.0,I found its very good as I expected.. fabric quality is good nd comfortable.. so I loved it a lot,L,B08FBNGGN4
Perfect,5.0,Very comfertable dress with nice fabric,M,B08FBNGGN4
Good,5.0,Good.Value for money.,XL,B08FBNGGN4
God product,4.0,The product came in righht packaging and was comfortable.,4XL,B0BS1H18VC
Comfortable and worth your money,5.0,The product is comfortable and worth your money,XL,B0BS1H18VC
Febric,5.0,The fabric is very soft and very comfortable too. I liked it very much,4XL,B0BS1H18VC
Nice and comfortable,4.0,Good kurti with comfortable and quality,L,B0BS1H18VC
Nice,5.0,"Very nice, quality is good, value for money.",M,B0BS1H18VC
Worth the money comfortable cotton dresses,5.0,Very comfortable cotton feeding kurtis worth the money,2XL,B0BS1H18VC
Comfortable cotton nursing wear v light m good colors,4.0,Fabric is light breathable colors r good comfortable nursing wear fashionable also nice,2XL,B0BS1H18VC
Very good product,4.0,"The media could not be loaded.
                



 The zari comes out and irritates after 2 -3 wash",4XL,B0BS1H18VC
Very nice,4.0,I don't know after wash.,L,B0BS1H18VC
Nice and comfortable dress,5.0,Like the product and satisfied,L,B0BS1H18VC
Comfortable cloth,5.0,I like the material breathable and very comfortable,3XL,B0BS1H18VC
Good one,5.0,Very good cotton and nice fit,L,B0BS1H18VC
Great product!!!,5.0,Really nice product.,2XL,B0BS1H18VC
Quality was excellent,5.0,"It's pure cotton, comfortable clothing for expecting and brest feeding mom's. Go for it.",XL,B0BS1H18VC
Fabric,5.0,Nice fabric,2XL,B0BS1H18VC
Good and soft,5.0,"Good product, soft. Price could have been little less",L,B0BS1H18VC
Good product,5.0,Keep Smiling and have a nice day😇😇😇😇😇,XL,B0BS1H18VC
Just what I wanted  🔥,5.0,"I was looking for pure cotton maternity dresses with breastfeeding and these are perfect. Simple, colors are cute, nicely stitched, and I liked the personal message. Keep up the good work and keep making your customers smile 👍🙏",L,B0BS1H18VC
As shown in the pic,5.0,"It's light, comfortable. Color intact after first wash",2XL,B0BS1H18VC
It is very good product,5.0,Good product even the cloth material is also good.stiching is also perfect.👌,XL,B0BS1H18VC
Worth the buy,5.0,Loved both the dresses. They look exactly as shown in the picture and quality is also good. I am very satisfied with the purchase. Thank you.,M,B0BS1H18VC
Very nice product,5.0,Very nice product 😁,2XL,B0BS1H18VC
Superb,5.0,Superb i am very happy,2XL,B0BS1H18VC
Good Stuff,5.0,Good Stuff and worth to purchase,2XL,B0BS1H18VC
Good quality,5.0,Good quality,L,B0BS1H18VC
Nice product,5.0,Good quality and nice product,XL,B0BS1H18VC
Satisfied,5.0,Good product,L,B0BS1H18VC
very comfortable,5.0,I like the design n it's very comfortable,L,B0BS1H18VC
Excellent material,5.0,Good quality and worth for the money,XL,B0BS1H18VC
Nice,5.0,Nice print,L,B0BS1H18VC
Good quality,2.0,"Dresses r really cotton one, both d dresses r comfortable , but d design which is given in d sleeves r making it uncomfortable, & chain lining is irritates so much.... Try to make chain lining smooth...",2XL,B0BS1H18VC
Material and colour is fine but stitches are horrible.,3.0,"Colour is good, material is soft but the stitching is very bad. The  stitches comes out after wearing for a couple of times and thats very disgusting.",2XL,B0BXJWF89M
Go for it... very nice dress,4.0,Good quality... light weight... l less one star bcz of there is need of back blet for fitting.... all over very nice dress bcz of comfort manner..,XL,B0BXJWF89M
Quality & product,3.0,its fubbrick is not good,XL,B0BXJWF89M
Excellent product,5.0,Loved the medium size blue colour anarkali. Didn't fade after machine wash.,M,B0BXJWF89M
NEVER BUY IT,1.0,"The media could not be loaded.
                



 I PLACED THE ORDER FOR THIS ITEM HOPING TO GET CELEBRATED WITH MY DAUGHTER. WHEN I RECEIVED THE ORDER COMPLETELY PISSED OFF. I NEVER KNEW I WAS GOING TO RECEIVE A FULL OF DEFECT PRODUCT. I HAVE GONE THROUGH THE PRODUCT DETAILS AND PLACED THE ORDER BUT STILL DISAPPOINTED. I COULDN'T PLACE THE RETURN BECAUSE I REMOVED THE PRICE TAG. WORST EXPERIENCE. THIS IS THE MOST AWKWARD SITUATION FOR ME AND THIS IS WHY I STOPPED ORDERING THROUGH AMAZON A LONG BACK. WASTE OF MONEY.. WORTHLESS.. GETTING PISSED OFF. WHAT A WORST DAY",XL,B0BXJWF89M
Normal,1.0,"Color totally Different, cloth quality poor",L,B0BXJWF89M
Pure cotton dress,5.0,Same h jesa dikhaya h photo m or material bhi cotton h.dikhne m bhi Sundar h,L,B0BXJWF89M
Not good material,1.0,Low quality,XL,B0BXJWF89M
Love the dress,5.0,Good fabric & good fitting,L,B0BXJWF89M
Quality bad,1.0,Cloth quality is bad not worth for money. So returned it.,2XL,B0BXJWF89M
Dress very poor quality,1.0,"Very very worst quality, waste of money",XL,B0BXJWF89M
Cloth material,1.0,"Cloth Material is not good, very transparent, waste of money.",2XL,B0BXJWF89M
Good,4.0,"Soft cotton material, good print and quality.Stitching quality can be improved, only one stitch.Need to stitch and shape the dress, but it's ok.",XL,B0BQJH5W7J
Nice,5.0,It’s good and fabric is very soft… runs a smaller size so try to buy next size,3XL,B0BQJH5W7J
Poor quality,2.0,Review by Sister:The product quality is not poor. Not like the picture shown. Shapeless stitching.Maybe good for homewear purpose but not worth for Rs 999 for sureI am returning the product because i dont want to waste money on a poor quality product.,XL,B0BQJH5W7J
Item missing,2.0,I order this product but I got only one kurti and also the quality was not good. Clothe Material was very thin and I also don't like the colour of the product it may goes after one wash.,XL,B0BQJH5W7J
Good fitting and design.,5.0,Good fitting and design.,XL,B0BQJH5W7J
Very nice very comfortable,5.0,,M,B0BQJH5W7J
Must buy beautiful cotton maternity wear,5.0,Cotton and comfortable maternity wears. MUST TRY. Affordable price and excellent dresses. Writing the review after 3 times machine wash and the color and the print are still same. GO FOR IT.,4XL,B0BQJH5W7J
Good cloth... Cotton material...,5.0,Price point of view it is good option.......,3XL,B0BQJH5W7J
quality not as expected,1.0,quality of green kurti was very poor,M,B0BQJH5W7J
Not worth buying,1.0,"The media could not be loaded.
                



 Got 2 but one kurti the pink one is having holes.. very cheap material... One kurti is ok..Don't waste your hard earn money.",L,B0BQJH5W7J
It's good as of now.,5.0,Fabric is soft and cotton. I like the dress.,XL,B0BRYK2DYM
Material is good,5.0,Good,L,B0BRYK2DYM
Not comfortable,3.0,The gotta patti work is poking in hand and bottom line of neck.You can not comfortably wear it for whole day. I already washed it so can't return it.The fir is good the fabric is thin but breathable. while washing lill colour bleeds but that's ok. But if it is poking then what use of all other things,3XL,B0BRYK2DYM
Nice Kurti,5.0,I really like the material,3XL,B0BRYK2DYM
Good,5.0,Good product,M,B0BRYK2DYM
Must buy,5.0,Super fit and comfortable,4XL,B0BRYK2DYM
very comfortable And easy to use love this,5.0,I like the cloth and very easy to use and comfortable  summer friendly dress home washable print is beautiful chain patern is gud,3XL,B0BRYK2DYM
Kurta,4.0,Nice fabric and colour but colour is dull when I washed it okk,M,B09RZNLDR4
Nice Kurti,4.0,,L,B09RZNLDR4
Very nice and confirtable,4.0,Confirtable and nice fit,L,B09RZNLDR4
Good,4.0,Lv it,XL,B09RZNLDR4
Worthy maternity wear,4.0,"Size fits well, nice design, not so called soft cotton but not too bad material, not sure about quality of zips during rough handling.Overall nice dress",2XL,B09RZNLDR4
Average quality,3.0,Light dress,L,B09RZNLDR4
Material is cotton,5.0,The color and material is very good. True to size. Fit is good and it has pink flower on it which looks lovely,M,B09RZNLDR4
Gud one,5.0,So good 😊😊,M,B09RZNLDR4
"It great for expecting moms, fits as expected",4.0,It is great product at this price it’s cotton and comfortable for summers size is also perfect,L,B09RZNLDR4
Awesome 👍,5.0,Good quality ...good price....worth the buy,2XL,B09RZNLDR4
Received different item.,3.0,Pattern was totally different than image. I kept it because fabric is good and comfortable.,M,B09RZNLDR4
Average,2.0,Colour and quality is not good,L,B09RZNLDR4
Very thin material. Average quality.,3.0,"Average quality, material is very thin.",2XL,B09RZNLDR4
Colour Faded,2.0,Colour was faded in one wash..Waste of money,M,B09RZNLDR4
Product is worth the money,4.0,Product is quite transparent but worth the money..,M,B09RZNLDR4
Quality not good,2.0,Quality not good,M,B09RZNLDR4
Thread length is too low,3.0,Thread length is too low. So that it cannot able to tie comfortably,L,B09RZNLDR4
Good,4.0,The top looks v classy but the cloth isn't v soft yet it's comfortable to carry But the zipper has come off. The zippers are little weak. Except it Remainining all are gud.,XL,B09RZNLDR4
Satisfied 😌,5.0,Very nice kurti... loved the fitting..perfect...👌,XL,B09RZNLDR4
Can buy,4.0,I purchased it for 499. But the price later went up and up... Reasonable and satisfying if you pay 499 but not more than that... There is no inner lining due to which cloth isn't stiff after just 2-3 washes. Print and color is good,2XL,B09RZNLDR4
Zip issue due to stitching,3.0,"On first time itself zip was stuckWhenever pulled it, it didn’t close properlyLeaving little open in middle of zip so automatically whole zip gets open",M,B09RZNLDR4
Fit is as expected but the material is not good. Quality is not as expected.5,3.0,Bought this for wife. Quality is not as expected. The material is not opaque.,L,B09RZNLDR4
Average,3.0,Designs as it is but not looking that much pretty,M,B09RZNLDR4
Comfortable,4.0,The dress is pure cotton. Comfortable and fits well. The only disappointment was the price.. it was very high when I ordered.,M,B09RZNLDR4
Feels good,4.0,The material is good to wear and print quality is also fine,M,B09RZNLDR4
Super,4.0,Value of money,2XL,B09RZNLDR4
Expected,4.0,Good,M,B09RZNLDR4
Nice Product,5.0,Cotton quality is very good. Also overall quality is worthy.,XL,B09RZNLDR4
This material is very comfort go for it😍,5.0,I like this dress material and also this design finally I loved it😍,XL,B09RZNLDR4
It's good product,5.0,"The media could not be loaded.
                



 It's good 👍",L,B09RZNLDR4
Very poor quality 😢,1.0,Material is very poor for skin.i can wear because material is not comforta for skin .,M,B09RZNLDR4
Not nice,2.0,Ok,XL,B09RZNLDR4
Nice quality as expected,4.0,Nice dress. Quality good. As expected,M,B09RZNLDR4
Good one to purchase,5.0,"Good quality, beat one to buy for new moms",L,B09RZNLDR4
Very comfortable,4.0,Loved this kurta. Very comfortable for Indian hot weather.,2XL,B09RZNLDR4
Fabulous fabric and comfortable and best quality,5.0,Good product and fabric is very nice smooth and comfortable.,2XL,B09RZNLDR4
Worth it!,5.0,Colour was as shown in the picture and very comfortable for daily use,XL,B09RZNLDR4
Nice print and good one,5.0,"Nice print and fitting is good, go for it",2XL,B09RZNLDR4
Quality is good,5.0,product is as expected and color is also as showed in the picture,M,B09RZNLDR4
"Cloth quality is very bad, just after 2-3 wash cloth started getting torn up",2.0,"Cloth quality, zip quality bad. Even if you buy this after looking at its price as it is so cheap so is the quality of entire product is.",L,B09RZNLDR4
Cloth quality is not good,3.0,Cloth quality is not good,M,B09RZNLDR4
Satisfied,5.0,"Writing review aftr using 3 months of same brand kurta ,purchased 3 kurtas all 3 r beautiful, comfortable .. totally satisfied .... But delivery is not delayed.....",XL,B09RZNLDR4
Worth money must buy for new moms..,5.0,Worth money must buy for new moms..,2XL,B09RZNLDR4
Not bad,3.0,Quality is not bad but price is too high,XL,B09RZNLDR4
Ok product,3.0,Cloth is soft. It had one silver thing stitched in hands and in center button place which is itchy and scratchy.,2XL,B09RZNLDR4
Nice but Transparent,3.0,Product color is same as shown picture.. But cloth is transparent.. and the price little too much,L,B09RZNLDR4
Quality is low,2.0,Quality is not good,2XL,B09RZNLDR4
Good product,5.0,Highly recommended. Pure Cotton feels comfortable while wearing it in this the weather. Safe for machine wash.,M,B09RZNLDR4
❤️,5.0,Amazing product,M,B09RZNLDR4
Good fabric,5.0,Nice fabric and color..,XL,B09RZNLDR4
Material better than expected,4.0,I'd love to shop next time,2XL,B09RZNLDR4
Low quality,2.0,Color fading occurs from the first wash.. Low quality fabric...disappointed😐,L,B09RZNLDR4
Awesome,5.0,Mass dress,2XL,B09RZNLDR4
Clothe is very poor quality,2.0,Cloth is bad quality vry transparent,2XL,B09RZNLDR4
Good,5.0,Good productNo transparentColor didn't fade after washValue for money,XL,B09RZNLDR4
Too large,3.0,"Material shrinking in first wash itself, transparent, low quality material",M,B09RZNLDR4
Worst product,5.0,"Within usage of 1 day the fabric is torn. 3rd quality cloth...if the package is open,the cloth should be more comfy, nice, & pure cotton..but the fabric is worst",XL,B09RZNLDR4
Yukk product 🤮,1.0,Yukk 🤮product I ordered Marron Kurti.. The quality is cheap and it exactly look like poocha kapada that we use for years. Please dont buy this Kurti,XL,B09RZNLDR4
Ok,3.0,Ok for the price,2XL,B09RZNLDR4
Best,5.0,Omg the best floral print one piece . I am 7th month pregnant xl size is best for me. Loose very comfy. Love that material. Very soft.,XL,B09RZNLDR4
Quality fabric and stitching,5.0,Colour didn't run as much after a month of using it's still good. Already bought one in red color and will be considering this brand in future too. Hope quality will be maintained. Happy to buy :),M,B09RZNLDR4
Fabric quality  not good,2.0,Fabric is cotton but thin,2XL,B09RZNLDR4
It's beautiful,5.0,Cloth print fit quality,L,B09RZNLDR4
Product and is good and comfortable,5.0,Product and is good and comfortable,XL,B09RZNLDR4
Good,5.0,Value of money.,XL,B09RZNLDR4
Return pickup,1.0,I didn't like the product and i returned it on 10-12-21But till now there is no one to pick up the dress....poor customer service.... totally disappointed...cloth is very poor....bad customer service...he only cancled my return option....no call nothing,2XL,B09RZNLDR4
Good product,5.0,Very useful and comfortable good value for money,L,B09RZNLDR4
Beautiful colour.,5.0,Lovely,XL,B09RZNLDR4
Very good product,5.0,"Cotton stuff, nice and perfect stitching, go ahead to buy 👍🏻After washing, colour is remain same.",L,B09RZNLDR4
Stitching and color also vanished after 1st wash,1.0,Stitching and color also vanished after 1st wash,M,B09RZNLDR4
Superb top but very thin,5.0,Value for money xxl size pure cottonVery comfort  better,2XL,B09RZNLDR4
Color draining,1.0,Color drained a lot after the first wash also the color has spread to the white portion of the material and I can't use it anymore.,L,B09RZNLDR4
Good product,5.0,Good good dood,XL,B09RZNLDR4
Very nice quality,5.0,"Dress material is very good,",L,B09RZNLDR4
I really like the fabric and fitting and design..go for it,5.0,Fab kurti go for it,L,B09RZNLDR4
Good buy,5.0,Beautiful outfit..Worth buying,XL,B09RZNLDR4
Good material and quality,5.0,"Liked the product, it has good material and quality and the zips are awesome too",2XL,B09RZNLDR4
Good quality good product...Nits,5.0,"Good quality,good product,perfect fitting & wife happy 😀...Nits",XL,B09RZNLDR4
Disappointed,1.0,Colour is so dull it's like fade dress,L,B09RZNLDR4
Worth the money. Pure cotton easy to wash.,5.0,Worth the money.,M,B09RZNLDR4
Cheap quality cotton material. Stiching is ok,1.0,Cheap quality cotton material. Stiching is ok. Colour goes in wash.,XL,B09RZNLDR4
Breathable cotton frock,5.0,Very very good,L,B09RZNLDR4
I love this kurta it's oswm...pure cotton better for feeding mom it's easy nd convient,5.0,,XL,B09RZNLDR4
Poor stuff and bad quality of cloth is used... In one wash it's like color fades.,1.0,Poor quality of cloth is used.. Also the zip is not properly attached... Highly disappointed not as per the price.,M,B09RZNLDR4
Not worthy,1.0,"It is torned in one place, color is faded",2XL,B09RZNLDR4
worst service,1.0,the ordered product color and dispatched color are different we want to change the product,2XL,B09RZNLDR4
Zip in both sides are not hidden in the front as shown in images of the kurti.,1.0,Zip in both sides are not hidden in the front as shown in images of the kurti.,M,B09RZNLDR4
"Quality is not good, I don’t want this product please arrange pickup for this",1.0,,2XL,B09RZNLDR4
Very bad,1.0,Stitching is not good.very bad product. Not satisfied.,L,B09RZNLDR4
Quality,1.0,Worst quality product. We have disappointed for the product.,2XL,B09RZNLDR4
Good looking,5.0,Good looking and quality is super nice product gorgeous look to wear super super nice kurti i suggest it was value of money good ....,L,B09RZNLDR4
Okok,2.0,Ok ok type but price should be less than they displayed on this item. Please reduce price with some handsome amount,L,B09RZNLDR4
Poor quality,1.0,Very poor cloth quality. It’s a see through material. Not worth ₹100. Pleas don’t sell third rate quality. Buy at your own risk.,L,B09RZNLDR4
Color not as shown,1.0,Color of dress is not shown in image & quality of dress s worst. Very bad product. Waste of money,M,B09RZNLDR4
Good,4.0,A very good one for mothers. I orders large size but it is litle big for me. Same day i recevd 3 other tops with large size. That all r fit for me. Otherwise it is good,L,B09RZNLDR4
Good product,5.0,Best and perfect fit,2XL,B09RZNLDR4
Good quality,5.0,Nice fabric,M,B09RZNLDR4
Good product,5.0,Good product as expectedCottonPerfect fit maternity wearComfortable to wearGood looking,L,B09RZNLDR4
Good quality,4.0,Material quality is good and fits perfectly,M,B0BQMZ3NJN
Material is good.fitting is also perfect.,4.0,Colour of the product is same as shown in the image.,M,B0BQMZ3NJN
Good purchase (for XL),5.0,Quality is good. Fit is perfect.,XL,B0BQMZ3NJN
Perfect fit,4.0,Cloth quality is good. Size is as expected. But not sure whether prints will go after some wash.,M,B0BQMZ3NJN
Niice fit and stuff also good.,5.0,Niice fit and stuff also good,XL,B0BQMZ3NJN
Nice,5.0,Good quality and dress was so comfortable and stylish,L,B0BQMZ3NJN
Cloth is soft,3.0,Material is good but the print is not as shown in picture little dull.,XL,B0BQMZ3NJN
Great,4.0,Good material. Worth our money,XL,B0BQMZ3NJN
Nice,5.0,Nice dress..would recommend ...🙂,L,B0BQMZ3NJN
Quality,5.0,The quality is good.,L,B0BQMZ3NJN
Good one,5.0,"Comfortable dress, perfect for summer season",2XL,B0BQMZ3NJN
Colour fading and destroyed other clothes also,1.0,Worst product,XL,B0BQMZ3NJN
Nice product,5.0,"Nice colour, fit and material quality is also good. Good product and worth the purchase",XL,B0BQMZ3NJN
The product is very good in quality and colour as expected,5.0,This product is very useful for pregnant women and feeding mom's.,L,B0BQMZ3NJN
Comfortable,5.0,"Its good. Nice fitting, nice color too. Suits well for fair skin ppl.",XL,B0BQMZ3NJN
Good and comfortable,5.0,It's value for money.  Color was good comfortable. Fit as expected,3XL,B0BQMZ3NJN
Good product,5.0,I have purchased this product for feeding and this is such a wonderful product by wearing this dress it's very comfortable,L,B0BQMZ3NJN
Quality of material and fit is good,5.0,Quality of product,M,B0BQMZ3NJN
Beautiful 😍,5.0,Bought this for my wife. Nice product. Solved the purpose satisfyingly.,2XL,B0BQMZ3NJN
Good quality,5.0,Good quality,M,B0BQMZ3NJN
Don't buy,1.0,Zips are not good. Very bad product,L,B0BQMZ3NJN
Worth for money,5.0,Comfortable for new mommies,2XL,B0BQMZ3NJN
Good,5.0,Very good product,M,B0BQMZ3NJN
very good product,5.0,"As per expectation,  so happy with it.",L,B0BQMZ3NJN
"Good fitting and material, costly",5.0,Good material and fitting as expected.Little costly for the material.,XL,B0BQMZ3NJN
Good,5.0,Good,2XL,B0BQMZ3NJN
Dramajadu,1.0,The media could not be loaded.,M,B0BQMZ3NJN
Gud product,4.0,Fit as expected and very comfortable to wear.,3XL,B0BQMZ3NJN
Good product,4.0,Worth the money. Comfortable,XL,B0BX9MR564
Useful feeding kurthi,5.0,This is very useful and super quality 🤩must buy,2XL,B0BX9MR564
Very nice 👍,5.0,Nice 👍,S,B0BX9MR564
Pretty kurta with awesome fabric and prints,5.0,This kurta is amazing. A perfect peace to pair up with white pants or Palazzos. Wearing a white dupatta enhances it's beauty and adds an essence of traditional Indian attire. Zips are good. Buy a smaller size then your true size if you want it to be perfectly fitted.,XS,B0BX9MR564
Low quality dress,1.0,"I would not recommend to buy this at this price point, colour got fade with very 1st wash, the zip strip is not properly done threads are coming out, the cut on shoulder look torn as if it's torn out. Infact few people asked me if it got torn",L,B0BX9MR564
Nice product,5.0,Must buy fabric is so skin friendly and print is also fabulous 👌,2XL,B0BX9MR564
Zip quality was not good,3.0,"Zip was not fixed as per feeding area, very Unvofirtable to feed wt this top",L,B0BX9MR564
Material,2.0,Kurti started tearing off near zip area,XL,B0BX9MR564
Zip quality is pathetic,3.0,Zip quality is pathetic,S,B0BX9MR564
Size small bhi large h,5.0,Xs small size bhi banana chahiecompnykoIt is too loose and long but cloth material isGood,S,B0BX9MR564
Dress design was nice. But cloth is very transparent.,2.0,Dress design was nice. But cloth is very transparent.,XL,B0BX9MR564
Great buy,5.0,Totally serves the purpose. Zippers are well placed N sufficiently long. Cloth's good as well.,2XL,B0BX9MR564
"No good quality,dress is transparent ligthly",2.0,Not good,2XL,B0BX9MR564
Fade colour... Not as expected,1.0,Dull color,L,B0BX9MR564
Too bad,1.0,Very bad,S,B0BX9MR564
Comfortable & Stylish,5.0,"These kurtis for pregnant ladies are a perfect blend of comfort and style, making them an excellent choice for pregnant ladies.",XL,B0C81WMGDY
Amazing,5.0,"The maternity dress is a fashionable and comfortable choice for expecting mothers, offering both style and functionality.",XL,B0C81WMGDY
It's perfect cotton kurti.,5.0,"I absolutely adore this kurti! The material is incredibly soft, making it a easey to wear, and it serves as a lovely maternity dress.",2XL,B0C81WMGDY
Amazing!! Must buy,5.0,"The maternity kurti is a dream come true, providing utmost comfort and elegance during the pregnancy",M,B0C81WMGDY
